Day,Time,Session topic,icon,link,
Day 1,9:30,Arrival; coffee and snacks,coffee,,
Day 1,10:00,Introduction to the course,chalkboard-teacher,,
Day 1,10:30,Smoother project-based collaboration,laptop-code,,with short break
Day 1,12:15,Lunch,utensils-alt,,
Day 1,13:15,Networking activity,user-friends,,
Day 1,13:45,,laptop-code,,
Day 1,14:45,Coffee break and snacks,coffee,,
Day 1,15:00,Continue previous session,laptop-code,,
Day 1,16:15,End of day survey,comment-alt-edit,,link directly to survey?
Day 2,9:00,,laptop-code,,with short review
Day 2,10:30,Coffee break and snacks,coffee,,
Day 2,10:45,Continue previous session,laptop-code,,
Day 2,12:15,Lunch,utensils-alt,,
Day 2,13:15,Networking activity,user-friends,,
Day 2,13:45,,laptop-code,,
Day 2,14:45,Coffee break and snacks,coffee,,
Day 2,15:00,Continue previous session,laptop-code,,
Day 2,16:15,End of day survey,comment-alt-edit,,link directly to survey?
Day 3,9:00,,laptop-code,,with short review
Day 3,10:30,Coffee break and snacks,coffee,,
Day 3,10:45,Continue previous session,laptop-code,,
Day 3,12:15,Lunch,utensils-alt,,
Day 3,13:15,Networking activity,user-friends,,
Day 3,13:45,,laptop-code,,
Day 3,14:45,Coffee break and snacks,coffee,,
Day 3,15:00,Continue previous session,laptop-code,,
Day 3,16:15,End of day survey,comment-alt-edit,,link directly to survey?
